datatyep=0 data=hello
2016-06-23 10:49:03 datatyep=0 data=hello
2016-06-23 10:49:49 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 10:50:16 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 10:50:18 datatyep=1 data=5a25101010215h888003000000069141201120207c8_460040124507576_fffffffffffffffffffffffff
2016-06-23 10:50:19 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 10:50:23 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 10:50:25 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 11:09:43 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 11:11:09 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 11:12:44 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 11:13:10 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 11:13:27 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 11:13:56 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 11:19:39 datatyep=1 data=5a25101010215h888003000000069141201120207c8_460040124507576_fffffffffffffffffffffffff@
2016-06-23 11:20:25 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 11:21:07 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
2016-06-23 11:26:31 datatyep=1 data=5A25101010215H888003000000069141201120207C8_460040124507576_FFFFFFFFFFFFFFFFFFFFFFFFF
